code,text
1308191685,自从开始减肥，就成了烹饪小能手[求关注] 凉拌笋干：笋干、香菜、芝麻油、苹果醋、黑胡椒 土豆沙拉：土豆、胡萝卜、黄瓜、蚝油、胡椒 香酥鹰嘴豆：鹰嘴豆、椒盐、辣椒粉 烤秋刀鱼：秋刀鱼、蚝油、柠檬汁、胡椒 水煮蛋。
1700856117,我认真的对某些直男的生活情趣感到恐惧……虽然我也好不到哪去……
1700856117,哇 贱到忍不了自己 真是爽 中秋佳节祝安好啊
1700856117,刚回广州发现她躺在桌子上 Tony老师画风意外的合适 太可爱了
1700856117,我的左心好痛 我的右心也好痛 找不到资料中间的食管更痛(╯‵□′)╯︵┻━┻
1700856117,在医院有人罩着的感觉真好[眼泪][眼泪][眼泪]
1700856117,治水要靠疏不是堵 奇妙的东方哲学 哪怕延展开也是十分受用
1700856117,每天都在被教做人[眼泪] [眼泪] [眼泪]
1700856117,唉编制是个大问题 出再多利好消息也没用
1700856117,胃好疼……在床上打滚感觉一会室友就要起来揍我了……OMG……因为冷水澡吗……
1700856117,说好查文献结果花了两个小时看完了这个_(:з」∠)_在欧洲绿化卓见成效的今天 这电影一针见血 反讽圣母和种族主义都十分入骨 【1080p·喜剧】希特勒回来了/元首在现代 Er Ist Wieder Da 2015【中文字幕】   UP主：Emtee
1700856117,白色巨塔理想化过度了吧 这是一个绝对没有医闹的美好国度
1700856117,看了一篇贤哥05年指导研究生做的关于医院合同工薪资的论文 真是越想越担心以后的工资会不会养不活自己……说真的我好方啊
1700856117,其实 对偶像的爱会泛滥 大概是现实里太缺这玩意了 毕竟微笑这么治愈(可爱即正义
1700856117,爱豆路！爱豆路！爱豆路！这个坑好甜！
1700856117,心慌的不行 又睡不着 不知道该找个庙宇静心还是去吃药
1700856117,中了发卡的毒……想去北京……想去上海……
1700856117,还是东芝这场最撩_(:з)∠)_有点懂穿陆婷t的那个大佬了【冯薪朵】160416东芝特别公演 如果你拥抱我 UP主: 咦帽子有点绿
1700856117,连看几条国航787交付的微博 为什么都觉得涂装难看[眼泪] 社会主义蓝腰带还是挺合我口味的
1700856117,手机通讯录都没有了 电话号码全凭记忆 刚刚想给室友打电话 第一反应是57646然后才意识到不对 是71852 今天起太早了脑子有病
1700856117,既然努力装做君子也得不到自己想要的结果，那我干嘛还要框住自己不去做个暴徒，至少作恶时会很开心，本来我也不是什么好东西
1700856117,啊啊啊二太液收到了!!!!谢谢老板  广州天气太热火漆都化掉了[眼泪] [眼泪] [眼泪] 难为二太爷不能下水乘凉2333抑制不住洪荒之力想把这瓶水喝掉
1700856117,想回家 也想去三亚[眼泪] [眼泪] [眼泪] [眼泪]
1700856117,好好睡觉好好吃饭 安心读书踏实干活赚钱 哦对了还得勤快点去锻炼(想出门……
1700856117,老爷子一句“我也很想把她留在身边 可是没那个能力 不如让她安安静静的走”泪目 端午真的要赶紧回家多陪陪爷爷姥姥  【东方卫视】急症室故事 第二季（01-24期）(2)   UP主：东方卫视番茄台
1700856117,穷山恶水出刁民……虽然不想开地图炮 但最近某地人民实在刷我三观
1710354873,这么长时间没看大盘都上3000了 不容易 再等几年我可能回本就快了[眼泪]
1710354873,我要洒脱的自己
1768442190,六一的晚上节日快乐[握手]
1768442190,我帅气的哥哥又是一年生日[蛋糕][蛋糕][蛋糕][蛋糕][蛋糕][蛋糕]     .
1775386662,【金融学】推荐书目，报刊网站等。
1775386662,晒几张笔记，和打算看的书。过去被折磨太久，越理越乱的这颗心，要停下来，到书中去寻找答案。[可爱]（一大堆废话，归结三个字：想太多）
1775386662,[爱你]想明白了，这学期要好好修炼“内功”。低调内敛，多思考，珍惜这来之不易的心安。
